James Harden,50.7,55.3,43.2,67.4,54.4,54.4
John Wall,56.0,47.0,37.6,56.4,49.5,49.5
Kawhi Leonard,47.9,42.9,32.3,53.6,49.2,49.2
Isaiah Thomas,41.4,42.3,32.8,51.7,48.7,48.7
LaMarcus Aldridge,28.7,31.2,22.7,39.6,38.5,38.5
Bradley Beal,32.5,34.8,25.3,44.3,37.6,37.6
Al Horford,34.2,33.3,24.2,42.4,37.5,37.5
Patty Mills,19.9,18.1,9.9,26.4,31.1,31.1
Clint Capela,33.7,26.6,19.2,34.1,30.4,30.4
Jae Crowder,30.5,27.2,19.8,34.5,29.8,29.8
Avery Bradley,24.4,29.1,19.6,38.6,29.7,29.7
Otto Porter,33.3,28.2,17.8,38.6,29.6,29.6
Markieff Morris,28.3,26.6,17.2,36.0,26.8,26.8
Trevor Ariza,28.2,25.8,17.4,34.2,26.4,26.4
Patrick Beverley,24.9,26.2,17.8,34.5,26.0,26.0
Marcus Smart,21.6,24.8,17.0,32.5,25.1,25.1
Eric Gordon,24.1,25.4,17.7,33.2,24.8,24.8
Danny Green,19.0,17.4,11.2,23.7,24.2,24.2
Marcin Gortat,28.4,26.9,18.6,35.3,24.0,24.0
Pau Gasol,25.2,26.5,17.3,35.7,23.3,23.3
Lou Williams,17.1,26.0,15.1,36.9,22.7,22.7
Manu Ginobili,16.2,16.3,8.7,23.9,22.6,22.6
Ryan Anderson,23.3,22.6,12.8,32.5,22.5,22.5
Kelly Olynyk,14.4,18.9,10.2,27.6,19.4,19.4
Jonathon Simmons,18.8,12.6,5.5,19.8,18.1,18.1
Terry Rozier,18.9,13.7,6.6,20.9,13.8,13.8
Bojan Bogdanovic,21.8,20.5,12.1,28.9,12.3,12.3
Brandon Jennings,4.3,17.0,6.4,27.7,11.1,11.1
Kelly Oubre Jr.,14.1,13.2,5.1,21.3,10.9,10.9
Ian Mahinmi,17.7,15.0,5.8,24.1,10.7,10.7
David Lee,9.9,16.5,8.6,24.4,10.6,10.6
Amir Johnson,8.7,16.5,8.2,24.9,8.4,8.4
Kyle Anderson,7.5,10.1,1.0,19.1,5.9,5.9
Gerald Green,9.9,9.6,2.3,16.9,5.6,5.6
Jaylen Brown,8.7,11.4,3.5,19.3,4.3,4.3
Jason Smith,7.5,11.7,3.7,19.7,4.2,4.2
Davis Bertans,3.7,8.4,0.5,16.3,0.0,0.0
Isaiah Taylor,1.9,3.0,-0.3,6.2,0.0,0.0
Daniel Ochefu,3.1,2.4,-1.2,6.1,0.0,0.0
Chinanu Onuaku,6.9,6.9,2.1,11.7,0.0,0.0
Jonas Jerebko,8.2,10.3,4.4,16.1,0.0,0.0
Dejounte Murray,5.5,6.3,-0.8,13.3,0.0,0.0
Montrezl Harrell,8.7,15.7,5.6,25.9,0.0,0.0
Trey Burke,9.0,8.4,1.1,15.7,0.0,0.0
Dewayne Dedmon,7.9,15.2,6.9,23.5,0.0,0.0
Troy Williams,1.4,10.3,0.3,20.2,0.0,0.0
Tyler Zeller,4.8,8.1,0.7,15.4,0.0,0.0
Jordan Mickey,1.7,3.9,0.3,7.5,0.0,0.0
Demetrius Jackson,4.0,4.0,-2.4,10.3,0.0,0.0
Tony Parker,29.0,19.7,11.1,28.2,0.0,0.0
Joel Anthony,5.6,4.1,-1.3,9.6,0.0,0.0
Bobby Brown,5.6,4.2,-2.9,11.3,0.0,0.0
Sam Dekker,9.4,14.2,6.7,21.6,0.0,0.0
Tomas Satoransky,3.3,6.8,0.4,13.2,0.0,0.0
Chris McCullough,3.0,4.3,-1.4,10.0,0.0,0.0
James Young,1.3,4.0,-1.3,9.4,0.0,0.0
Nene Hilario,19.7,17.9,10.8,24.9,0.0,0.0
Kyle Wiltjer,3.5,2.4,-1.2,6.1,0.0,0.0
Sheldon McClellan,2.8,5.3,-0.9,11.5,0.0,0.0
Bryn Forbes,11.9,4.5,-2.7,11.6,0.0,0.0
