Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3252,Dirk,Nowitzki,PF,DAL,LAC,DAL@LAC,10:30PM EDT,22,26.9, 
nba.p.3822,Devin,Harris,SG,DAL,LAC,DAL@LAC,10:30PM EDT,10,12.9, 
nba.p.4203,J.J.,Barea,SG,DAL,LAC,DAL@LAC,10:30PM EDT,10,21.5, 
nba.p.4694,Wesley,Matthews,SG,DAL,LAC,DAL@LAC,10:30PM EDT,16,24.7, 
nba.p.5013,Harrison,Barnes,SF,DAL,LAC,DAL@LAC,10:30PM EDT,24,29.1, 
nba.p.5157,Nerlens,Noel,C,DAL,LAC,DAL@LAC,10:30PM EDT,18,21.2, 
nba.p.5245,Seth,Curry,PG,DAL,LAC,DAL@LAC,10:30PM EDT,22,22,O
nba.p.5356,Dwight,Powell,C,DAL,LAC,DAL@LAC,10:30PM EDT,10,14.4, 
nba.p.5536,Salah,Mejri,C,DAL,LAC,DAL@LAC,10:30PM EDT,10,10.3, 
nba.p.5677,A.J.,Hammons,C,DAL,LAC,DAL@LAC,10:30PM EDT,10,4.8, 
nba.p.5693,Dorian,Finney-Smith,SF,DAL,LAC,DAL@LAC,10:30PM EDT,10,10.2, 
nba.p.5699,Nicolas,Brussino,SG,DAL,LAC,DAL@LAC,10:30PM EDT,10,5.7, 
nba.p.5705,Jarrod,Uthoff,PF,DAL,LAC,DAL@LAC,10:30PM EDT,10,4.5, 
nba.p.5720,Yogi,Ferrell,PG,DAL,LAC,DAL@LAC,10:30PM EDT,10,19.5, 
nba.p.3253,Paul,Pierce,PF,LAC,DAL,DAL@LAC,10:30PM EDT,10,6.8, 
nba.p.3407,Jamal,Crawford,SG,LAC,DAL,DAL@LAC,10:30PM EDT,11,19.1, 
nba.p.3930,Chris,Paul,PG,LAC,DAL,DAL@LAC,10:30PM EDT,44,40.5, 
nba.p.3931,Raymond,Felton,SF,LAC,DAL,DAL@LAC,10:30PM EDT,10,15.2, 
nba.p.3959,Brandon,Bass,PF,LAC,DAL,DAL@LAC,10:30PM EDT,10,9.6, 
nba.p.3995,Alan,Anderson,SG,LAC,DAL,DAL@LAC,10:30PM EDT,10,4.6, 
nba.p.4139,J.J.,Redick,SG,LAC,DAL,DAL@LAC,10:30PM EDT,12,21.3, 
nba.p.4478,Marreese,Speights,PF,LAC,DAL,DAL@LAC,10:30PM EDT,10,16.8, 
nba.p.4497,DeAndre,Jordan,C,LAC,DAL,DAL@LAC,10:30PM EDT,29,33.8, 
nba.p.4498,Luc Richard,Mbah a Moute,SF,LAC,DAL,DAL@LAC,10:30PM EDT,10,11.7, 
nba.p.4561,Blake,Griffin,PF,LAC,DAL,DAL@LAC,10:30PM EDT,43,39.7, 
nba.p.4719,Wesley,Johnson,SF,LAC,DAL,DAL@LAC,10:30PM EDT,10,8.2, 
nba.p.5016,Austin,Rivers,PG,LAC,DAL,DAL@LAC,10:30PM EDT,10,19.5,INJ
nba.p.5656,Brice,Johnson,PF,LAC,DAL,DAL@LAC,10:30PM EDT,10,5, 
nba.p.5671,Diamond,Stone,C,LAC,DAL,DAL@LAC,10:30PM EDT,10,2.5,INJ
nba.p.3643,Matt,Barnes,SF,GS,PHO,GS@PHO,10:00PM EDT,10,18.4, 
nba.p.3721,David,West,PF,GS,PHO,GS@PHO,10:00PM EDT,10,13.2, 
nba.p.3745,Zaza,Pachulia,C,GS,PHO,GS@PHO,10:00PM EDT,10,17.3, 
nba.p.3821,Shaun,Livingston,PG,GS,PHO,GS@PHO,10:00PM EDT,10,10.7, 
nba.p.3826,Andre,Iguodala,SG,GS,PHO,GS@PHO,10:00PM EDT,14,20.2,O
nba.p.4244,Kevin,Durant,SF,GS,PHO,GS@PHO,10:00PM EDT,50,46.6,INJ
nba.p.4480,JaVale,McGee,C,GS,PHO,GS@PHO,10:00PM EDT,10,11.5, 
nba.p.4612,Stephen,Curry,PG,GS,PHO,GS@PHO,10:00PM EDT,49,43.4, 
nba.p.4892,Klay,Thompson,SG,GS,PHO,GS@PHO,10:00PM EDT,34,32.7, 
nba.p.5069,Draymond,Green,PF,GS,PHO,GS@PHO,10:00PM EDT,38,35.4,O
nba.p.5237,Ian,Clark,SG,GS,PHO,GS@PHO,10:00PM EDT,10,11.2, 
nba.p.5385,James Michael,McAdoo,PF,GS,PHO,GS@PHO,10:00PM EDT,10,6.4, 
nba.p.5490,Kevon,Looney,PF,GS,PHO,GS@PHO,10:00PM EDT,10,7, 
nba.p.5661,Damian,Jones,C,GS,PHO,GS@PHO,10:00PM EDT,10,3.9, 
nba.p.5669,Patrick,McCaw,SG,GS,PHO,GS@PHO,10:00PM EDT,10,8, 
nba.p.3512,Tyson,Chandler,C,PHO,GS,GS@PHO,10:00PM EDT,10,24.2,INJ
nba.p.3731,Leandro,Barbosa,PG,PHO,GS,GS@PHO,10:00PM EDT,10,10.7,INJ
nba.p.3990,Ronnie,Price,PG,PHO,GS,GS@PHO,10:00PM EDT,10,5, 
nba.p.4300,Jared,Dudley,PF,PHO,GS,GS@PHO,10:00PM EDT,10,14.8, 
nba.p.4749,Eric,Bledsoe,SG,PHO,GS,GS@PHO,10:00PM EDT,35,37.5,INJ
nba.p.4889,Brandon,Knight,SG,PHO,GS,GS@PHO,10:00PM EDT,10,17.3,INJ
nba.p.5156,Alex,Len,C,PHO,GS,GS@PHO,10:00PM EDT,11,18.8, 
nba.p.5325,T.J.,Warren,SF,PHO,GS,GS@PHO,10:00PM EDT,31,24.7, 
nba.p.5419,Jarell,Eddie,SG,PHO,GS,GS@PHO,10:00PM EDT,10,7.1, 
nba.p.5473,Devin,Booker,SG,PHO,GS,GS@PHO,10:00PM EDT,30,31, 
nba.p.5598,Alan,Williams,C,PHO,GS,GS@PHO,10:00PM EDT,16,16.3, 
nba.p.5635,Dragan,Bender,PF,PHO,GS,GS@PHO,10:00PM EDT,10,7.9, 
nba.p.5639,Marquese,Chriss,PF,PHO,GS,GS@PHO,10:00PM EDT,19,17.5, 
nba.p.5665,Tyler,Ulis,PG,PHO,GS,GS@PHO,10:00PM EDT,24,14.1, 
nba.p.5747,Derrick,Jones Jr.,SF,PHO,GS,GS@PHO,10:00PM EDT,10,8.7, 
