Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3520,Joe,Johnson,SF,UTA,LAC,UTA@LAC,3:30PM EDT,19,17.5, 
nba.p.3724,Boris,Diaw,PF,UTA,LAC,UTA@LAC,3:30PM EDT,10,10.5, 
nba.p.4488,George,Hill,PG,UTA,LAC,UTA@LAC,3:30PM EDT,23,28.7, 
nba.p.4718,Derrick,Favors,PF,UTA,LAC,UTA@LAC,3:30PM EDT,18,20.6, 
nba.p.4724,Gordon,Hayward,SF,UTA,LAC,UTA@LAC,3:30PM EDT,37,35.4, 
nba.p.4893,Alec,Burks,SG,UTA,LAC,UTA@LAC,3:30PM EDT,10,11.8,O
nba.p.4916,Shelvin,Mack,PG,UTA,LAC,UTA@LAC,3:30PM EDT,10,14.4, 
nba.p.5197,Rudy,Gobert,C,UTA,LAC,UTA@LAC,3:30PM EDT,38,35.5,GTD
nba.p.5209,Jeff,Withey,C,UTA,LAC,UTA@LAC,3:30PM EDT,10,7.5, 
nba.p.5217,Raul,Neto,PG,UTA,LAC,UTA@LAC,3:30PM EDT,10,5.7, 
nba.p.5316,Dante,Exum,PG,UTA,LAC,UTA@LAC,3:30PM EDT,10,11.1, 
nba.p.5334,Rodney,Hood,SG,UTA,LAC,UTA@LAC,3:30PM EDT,11,20.2, 
nba.p.5393,Joe,Ingles,SG,UTA,LAC,UTA@LAC,3:30PM EDT,13,17.3, 
nba.p.5472,Trey,Lyles,PF,UTA,LAC,UTA@LAC,3:30PM EDT,10,12.5, 
nba.p.5683,Joel,Bolomboy,PF,UTA,LAC,UTA@LAC,3:30PM EDT,10,4.4, 
nba.p.3253,Paul,Pierce,SF,LAC,UTA,UTA@LAC,3:30PM EDT,10,6.4, 
nba.p.3407,Jamal,Crawford,SG,LAC,UTA,UTA@LAC,3:30PM EDT,10,18.7, 
nba.p.3930,Chris,Paul,PG,LAC,UTA,UTA@LAC,3:30PM EDT,48,41.7, 
nba.p.3931,Raymond,Felton,SF,LAC,UTA,UTA@LAC,3:30PM EDT,10,14.8, 
nba.p.3959,Brandon,Bass,PF,LAC,UTA,UTA@LAC,3:30PM EDT,10,9.5, 
nba.p.3995,Alan,Anderson,SG,LAC,UTA,UTA@LAC,3:30PM EDT,10,4.6, 
nba.p.4139,J.J.,Redick,SG,LAC,UTA,UTA@LAC,3:30PM EDT,12,21, 
nba.p.4478,Marreese,Speights,PF,LAC,UTA,UTA@LAC,3:30PM EDT,10,16.4, 
nba.p.4497,DeAndre,Jordan,C,LAC,UTA,UTA@LAC,3:30PM EDT,31,34, 
nba.p.4498,Luc Richard,Mbah a Moute,SF,LAC,UTA,UTA@LAC,3:30PM EDT,11,12.5, 
nba.p.4561,Blake,Griffin,PF,LAC,UTA,UTA@LAC,3:30PM EDT,41,39.1,INJ
nba.p.4719,Wesley,Johnson,SG,LAC,UTA,UTA@LAC,3:30PM EDT,10,7.8, 
nba.p.5016,Austin,Rivers,PG,LAC,UTA,UTA@LAC,3:30PM EDT,10,19.3, 
nba.p.5656,Brice,Johnson,PF,LAC,UTA,UTA@LAC,3:30PM EDT,10,4.7, 
nba.p.5671,Diamond,Stone,C,LAC,UTA,UTA@LAC,3:30PM EDT,10,2.5,INJ
nba.p.3954,Ian,Mahinmi,C,WAS,BOS,WAS@BOS,1:00PM EDT,10,15,INJ
nba.p.3983,Marcin,Gortat,C,WAS,BOS,WAS@BOS,1:00PM EDT,19,26.4, 
nba.p.4298,Jason,Smith,PF,WAS,BOS,WAS@BOS,1:00PM EDT,10,11.9, 
nba.p.4615,Brandon,Jennings,PG,WAS,BOS,WAS@BOS,1:00PM EDT,10,17.5, 
nba.p.4716,John,Wall,PG,WAS,BOS,WAS@BOS,1:00PM EDT,50,46.3, 
nba.p.4894,Markieff,Morris,PF,WAS,BOS,WAS@BOS,1:00PM EDT,21,26.2, 
nba.p.4913,Bojan,Bogdanovic,SG,WAS,BOS,WAS@BOS,1:00PM EDT,10,20, 
nba.p.5009,Bradley,Beal,SG,WAS,BOS,WAS@BOS,1:00PM EDT,34,34.5, 
nba.p.5066,Tomas,Satoransky,PG,WAS,BOS,WAS@BOS,1:00PM EDT,10,6.8, 
nba.p.5154,Otto,Porter,SF,WAS,BOS,WAS@BOS,1:00PM EDT,21,27.4, 
nba.p.5160,Trey,Burke,PG,WAS,BOS,WAS@BOS,1:00PM EDT,10,8.6, 
nba.p.5475,Kelly,Oubre Jr.,SF,WAS,BOS,WAS@BOS,1:00PM EDT,10,12.9, 
nba.p.5489,Chris,McCullough,PF,WAS,BOS,WAS@BOS,1:00PM EDT,10,4.2, 
nba.p.5729,Sheldon,McClellan,SG,WAS,BOS,WAS@BOS,1:00PM EDT,10,5.3, 
nba.p.5730,Daniel,Ochefu,C,WAS,BOS,WAS@BOS,1:00PM EDT,10,2.6, 
nba.p.3944,Gerald,Green,SF,BOS,WAS,WAS@BOS,1:00PM EDT,10,9.7, 
nba.p.3982,Amir,Johnson,PF,BOS,WAS,WAS@BOS,1:00PM EDT,10,16.3, 
nba.p.4245,Al,Horford,C,BOS,WAS,WAS@BOS,1:00PM EDT,29,33.2, 
nba.p.4644,Jonas,Jerebko,PF,BOS,WAS,WAS@BOS,1:00PM EDT,10,10.2, 
nba.p.4750,Avery,Bradley,SG,BOS,WAS,WAS@BOS,1:00PM EDT,23,29, 
nba.p.4942,Isaiah,Thomas,PG,BOS,WAS,WAS@BOS,1:00PM EDT,45,41.6, 
nba.p.5023,Tyler,Zeller,C,BOS,WAS,WAS@BOS,1:00PM EDT,10,8.1, 
nba.p.5068,Jae,Crowder,PF,BOS,WAS,WAS@BOS,1:00PM EDT,23,26.4, 
nba.p.5164,Kelly,Olynyk,C,BOS,WAS,WAS@BOS,1:00PM EDT,11,18.9, 
nba.p.5317,Marcus,Smart,SG,BOS,WAS,WAS@BOS,1:00PM EDT,16,24.8, 
nba.p.5328,James,Young,SG,BOS,WAS,WAS@BOS,1:00PM EDT,10,4.3, 
nba.p.5476,Terry,Rozier,PG,BOS,WAS,WAS@BOS,1:00PM EDT,10,13, 
nba.p.5493,Jordan,Mickey,PF,BOS,WAS,WAS@BOS,1:00PM EDT,10,3.9, 
nba.p.5602,Jaylen,Brown,SG,BOS,WAS,WAS@BOS,1:00PM EDT,10,11.5, 
nba.p.5676,Demetrius,Jackson,PG,BOS,WAS,WAS@BOS,1:00PM EDT,10,4, 
