Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3605,Nene,Hilario,C,HOU,SA,HOU@SA,8:00PM EDT,10,17.4,INJ
nba.p.3860,Trevor,Ariza,SF,HOU,SA,HOU@SA,8:00PM EDT,20,25.8, 
nba.p.3971,Lou,Williams,SG,HOU,SA,HOU@SA,8:00PM EDT,16,25.9, 
nba.p.4469,Eric,Gordon,SG,HOU,SA,HOU@SA,8:00PM EDT,16,25.4, 
nba.p.4483,Ryan,Anderson,PF,HOU,SA,HOU@SA,8:00PM EDT,20,22, 
nba.p.4525,Bobby,Brown,SG,HOU,SA,HOU@SA,8:00PM EDT,10,4.2, 
nba.p.4563,James,Harden,SG,HOU,SA,HOU@SA,8:00PM EDT,60,55, 
nba.p.4647,Patrick,Beverley,PG,HOU,SA,HOU@SA,8:00PM EDT,19,25.8, 
nba.p.5336,Clint,Capela,C,HOU,SA,HOU@SA,8:00PM EDT,19,26.1, 
nba.p.5478,Sam,Dekker,SF,HOU,SA,HOU@SA,8:00PM EDT,10,13.6, 
nba.p.5492,Montrezl,Harrell,C,HOU,SA,HOU@SA,8:00PM EDT,10,15.8, 
nba.p.5668,Chinanu,Onuaku,C,HOU,SA,HOU@SA,8:00PM EDT,10,6.9, 
nba.p.5709,Troy,Williams,SF,HOU,SA,HOU@SA,8:00PM EDT,10,10.6, 
nba.p.5740,Isaiah,Taylor,PG,HOU,SA,HOU@SA,8:00PM EDT,10,3, 
nba.p.5741,Kyle,Wiltjer,PF,HOU,SA,HOU@SA,8:00PM EDT,10,2.4, 
nba.p.3380,Manu,Ginobili,SG,SA,HOU,HOU@SA,8:00PM EDT,10,15.6, 
nba.p.3513,Pau,Gasol,C,SA,HOU,HOU@SA,8:00PM EDT,15,26.5, 
nba.p.3527,Tony,Parker,PG,SA,HOU,HOU@SA,8:00PM EDT,10,19.5,INJ
nba.p.3956,David,Lee,PF,SA,HOU,HOU@SA,8:00PM EDT,10,16.5, 
nba.p.4130,LaMarcus,Aldridge,PF,SA,HOU,HOU@SA,8:00PM EDT,29,30.9, 
nba.p.4339,Joel,Anthony,PF,SA,HOU,HOU@SA,8:00PM EDT,10,4.1, 
nba.p.4651,Danny,Green,SG,SA,HOU,HOU@SA,8:00PM EDT,10,17.2, 
nba.p.4660,Patty,Mills,PG,SA,HOU,HOU@SA,8:00PM EDT,15,18, 
nba.p.4896,Kawhi,Leonard,SF,SA,HOU,HOU@SA,8:00PM EDT,50,42.3, 
nba.p.4926,Davis,Bertans,PF,SA,HOU,HOU@SA,8:00PM EDT,10,8.3, 
nba.p.5256,Dewayne,Dedmon,C,SA,HOU,HOU@SA,8:00PM EDT,10,15, 
nba.p.5341,Kyle,Anderson,SF,SA,HOU,HOU@SA,8:00PM EDT,10,10.2, 
nba.p.5526,Jonathon,Simmons,SF,SA,HOU,HOU@SA,8:00PM EDT,10,12.1, 
nba.p.5660,Dejounte,Murray,PG,SA,HOU,HOU@SA,8:00PM EDT,10,6.4, 
nba.p.5726,Bryn,Forbes,PG,SA,HOU,HOU@SA,8:00PM EDT,10,4.5, 
nba.p.3954,Ian,Mahinmi,C,WAS,BOS,WAS@BOS,8:00PM EDT,10,14.6, 
nba.p.3983,Marcin,Gortat,C,WAS,BOS,WAS@BOS,8:00PM EDT,22,26.6, 
nba.p.4298,Jason,Smith,PF,WAS,BOS,WAS@BOS,8:00PM EDT,10,11.7, 
nba.p.4615,Brandon,Jennings,PG,WAS,BOS,WAS@BOS,8:00PM EDT,10,17, 
nba.p.4716,John,Wall,PG,WAS,BOS,WAS@BOS,8:00PM EDT,51,46.7, 
nba.p.4894,Markieff,Morris,PF,WAS,BOS,WAS@BOS,8:00PM EDT,21,26.1, 
nba.p.4913,Bojan,Bogdanovic,SG,WAS,BOS,WAS@BOS,8:00PM EDT,11,19.9, 
nba.p.5009,Bradley,Beal,SG,WAS,BOS,WAS@BOS,8:00PM EDT,34,34.3, 
nba.p.5066,Tomas,Satoransky,PG,WAS,BOS,WAS@BOS,8:00PM EDT,10,6.8, 
nba.p.5154,Otto,Porter,SF,WAS,BOS,WAS@BOS,8:00PM EDT,25,27.7, 
nba.p.5160,Trey,Burke,PG,WAS,BOS,WAS@BOS,8:00PM EDT,10,8.4, 
nba.p.5475,Kelly,Oubre Jr.,SF,WAS,BOS,WAS@BOS,8:00PM EDT,11,12.9, 
nba.p.5489,Chris,McCullough,PF,WAS,BOS,WAS@BOS,8:00PM EDT,10,4.2, 
nba.p.5729,Sheldon,McClellan,SG,WAS,BOS,WAS@BOS,8:00PM EDT,10,5.3, 
nba.p.5730,Daniel,Ochefu,C,WAS,BOS,WAS@BOS,8:00PM EDT,10,2.4, 
nba.p.3944,Gerald,Green,SF,BOS,WAS,WAS@BOS,8:00PM EDT,10,9.6, 
nba.p.3982,Amir,Johnson,PF,BOS,WAS,WAS@BOS,8:00PM EDT,10,15.8, 
nba.p.4245,Al,Horford,C,BOS,WAS,WAS@BOS,8:00PM EDT,29,33.3, 
nba.p.4644,Jonas,Jerebko,SF,BOS,WAS,WAS@BOS,8:00PM EDT,10,10, 
nba.p.4750,Avery,Bradley,SG,BOS,WAS,WAS@BOS,8:00PM EDT,23,28.6, 
nba.p.4942,Isaiah,Thomas,PG,BOS,WAS,WAS@BOS,8:00PM EDT,45,41.6, 
nba.p.5023,Tyler,Zeller,C,BOS,WAS,WAS@BOS,8:00PM EDT,10,8.1, 
nba.p.5068,Jae,Crowder,PF,BOS,WAS,WAS@BOS,8:00PM EDT,23,26.7, 
nba.p.5164,Kelly,Olynyk,C,BOS,WAS,WAS@BOS,8:00PM EDT,11,18.7, 
nba.p.5317,Marcus,Smart,SG,BOS,WAS,WAS@BOS,8:00PM EDT,16,24.6, 
nba.p.5328,James,Young,SG,BOS,WAS,WAS@BOS,8:00PM EDT,10,4, 
nba.p.5476,Terry,Rozier,PG,BOS,WAS,WAS@BOS,8:00PM EDT,10,13.3, 
nba.p.5493,Jordan,Mickey,PF,BOS,WAS,WAS@BOS,8:00PM EDT,10,3.9, 
nba.p.5602,Jaylen,Brown,SF,BOS,WAS,WAS@BOS,8:00PM EDT,10,11.4, 
nba.p.5676,Demetrius,Jackson,PG,BOS,WAS,WAS@BOS,8:00PM EDT,10,4, 
